main.id,code_project,financing_modality,is_mandatory,contract_date,start_date,finish_date,defined_maturity_level,final_maturity_level,embrapii_amount,company_amount,ue_amount,total_amount,main.data_carga
33,PINA-1607.0001,EMBRAPII,2,2016-06-30,2016-06-30,2017-09-30,4,4,309655.500000,469175.000000,159519.500000,938350.000000,2025-03-25 02:01:06-03:00
34,PINA-1608.0002,EMBRAPII,0,2016-08-18,2016-08-22,2016-12-31,6,6,73334.160000,110012.240000,36678.070000,220024.470000,2025-03-25 02:01:06-03:00
36,PINA-1609.0003,EMBRAPII,2,2016-09-30,2016-10-03,2017-01-31,6,6,93333.330000,140000.000000,46666.670000,280000.000000,2025-03-25 02:01:06-03:00
38,PINA-1610.0004,EMBRAPII,0,2016-10-31,2016-11-06,2017-10-07,4,4,566223.530000,928800.000000,299076.469999,1794100.000000,2025-03-25 02:01:06-03:00
39,PINA-1612.0005,EMBRAPII,0,2016-12-01,2016-12-01,2019-11-30,4,4,621345.520000,621345.510000,147266.130000,1389957.159999,2025-03-25 02:01:06-03:00
104,PCPQ-1412.0002,EMBRAPII,2,2014-12-31,2015-01-01,2016-09-30,6,6,1700000.000000,2100000.000000,400000.000000,4200000.000000,2025-03-25 02:01:06-03:00
105,PCPQ-1412.0001,EMBRAPII,1,2015-01-19,2015-01-20,2017-01-18,6,6,495000.000000,750000.000000,240000.000000,1485000.000000,2025-03-25 02:01:06-03:00
33,PINA-1607.0001,EMBRAPII,2,2016-06-30,2016-06-30,2017-09-30,4,4,309655.500000,469175.000000,159519.500000,938350.000000,2025-03-31 13:34:13-03:00
34,PINA-1608.0002,EMBRAPII,0,2016-08-18,2016-08-22,2016-12-31,6,6,73334.160000,110012.240000,36678.070000,220024.470000,2025-03-31 13:34:13-03:00
36,PINA-1609.0003,EMBRAPII,2,2016-09-30,2016-10-03,2017-01-31,6,6,93333.330000,140000.000000,46666.670000,280000.000000,2025-03-31 13:34:13-03:00
38,PINA-1610.0004,EMBRAPII,0,2016-10-31,2016-11-06,2017-10-07,4,4,566223.530000,928800.000000,299076.469999,1794100.000000,2025-03-31 13:34:13-03:00
39,PINA-1612.0005,EMBRAPII,0,2016-12-01,2016-12-01,2019-11-30,4,4,621345.520000,621345.510000,147266.130000,1389957.159999,2025-03-31 13:34:13-03:00
104,PCPQ-1412.0002,EMBRAPII,2,2014-12-31,2015-01-01,2016-09-30,6,6,1700000.000000,2100000.000000,400000.000000,4200000.000000,2025-03-31 13:34:13-03:00
105,PCPQ-1412.0001,EMBRAPII,1,2015-01-19,2015-01-20,2017-01-18,6,6,495000.000000,750000.000000,240000.000000,1485000.000000,2025-03-31 13:34:13-03:00
106,PCPQ-1507.0003,EMBRAPII,0,2015-08-14,2015-08-17,2016-09-13,6,6,389000.000000,100000.000000,151650.000000,640650.000000,2025-03-25 02:01:06-03:00
107,PCPQ-1508.0005,EMBRAPII,0,2015-09-01,2015-09-01,2016-08-31,4,4,350587.580000,63225.000000,218512.560000,632325.140000,2025-03-25 02:01:06-03:00
108,PCPQ-1507.0004,EMBRAPII,2,2015-11-03,2015-11-03,2017-02-02,6,6,528660.000000,725006.000000,196334.000000,1450000.000000,2025-03-25 02:01:06-03:00
109,PCPQ-1510.0006,EMBRAPII,2,2015-10-23,2015-10-23,2016-06-22,6,6,66531.000000,99912.000000,33369.000000,199812.000000,2025-03-25 02:01:06-03:00
110,PCPQ-1512.0008,EMBRAPII,0,2016-01-21,2016-01-21,2016-12-20,6,6,867000.000000,615000.000000,980000.000000,2462000.000000,2025-03-25 02:01:06-03:00
111,PCPQ-1601.0009,EMBRAPII,0,2016-02-29,2016-02-29,2017-02-28,6,6,473306.000000,270238.000000,430900.000000,1174444.000000,2025-03-25 02:01:06-03:00
106,PCPQ-1507.0003,EMBRAPII,0,2015-08-14,2015-08-17,2016-09-13,6,6,389000.000000,100000.000000,151650.000000,640650.000000,2025-03-31 13:34:13-03:00
107,PCPQ-1508.0005,EMBRAPII,0,2015-09-01,2015-09-01,2016-08-31,4,4,350587.580000,63225.000000,218512.560000,632325.140000,2025-03-31 13:34:13-03:00
108,PCPQ-1507.0004,EMBRAPII,2,2015-11-03,2015-11-03,2017-02-02,6,6,528660.000000,725006.000000,196334.000000,1450000.000000,2025-03-31 13:34:13-03:00
109,PCPQ-1510.0006,EMBRAPII,2,2015-10-23,2015-10-23,2016-06-22,6,6,66531.000000,99912.000000,33369.000000,199812.000000,2025-03-31 13:34:13-03:00
110,PCPQ-1512.0008,EMBRAPII,0,2016-01-21,2016-01-21,2016-12-20,6,6,867000.000000,615000.000000,980000.000000,2462000.000000,2025-03-31 13:34:13-03:00
111,PCPQ-1601.0009,EMBRAPII,0,2016-02-29,2016-02-29,2017-02-28,6,6,473306.000000,270238.000000,430900.000000,1174444.000000,2025-03-31 13:34:13-03:00
112,PCPQ-1512.0007,EMBRAPII,0,2016-03-29,2016-03-29,2017-01-28,6,6,209010.000000,150210.000000,179610.000000,538830.000000,2025-03-25 02:01:06-03:00
113,PCPQ-1605.0011,EMBRAPII,0,2016-05-30,2016-05-30,2017-07-29,5,5,2353911.330000,2323971.419999,2439581.149999,7117463.910000,2025-03-25 02:01:06-03:00
114,PCPQ-1606.0012,EMBRAPII,2,2016-07-15,2016-07-15,2017-08-15,6,6,155828.000000,233947.000000,78079.000000,467854.000000,2025-03-25 02:01:06-03:00
115,PCPQ-1608.0013,EMBRAPII,0,2016-08-12,2016-08-12,2017-07-11,6,6,178000.000000,211000.000000,197000.000000,586000.000000,2025-03-25 02:01:06-03:00
116,PELD-1607.0001,EMBRAPII,0,2016-08-01,2016-08-01,2017-12-31,6,6,686540.500000,662992.500000,506228.679999,1855761.679999,2025-03-25 02:01:06-03:00
117,PELD-1608.0002,EMBRAPII,2,2016-08-01,2016-08-01,2017-07-31,4,4,470809.810000,1098556.229999,0.000000,1569366.040000,2025-03-25 02:01:06-03:00
112,PCPQ-1512.0007,EMBRAPII,0,2016-03-29,2016-03-29,2017-01-28,6,6,209010.000000,150210.000000,179610.000000,538830.000000,2025-03-31 13:34:13-03:00
113,PCPQ-1605.0011,EMBRAPII,0,2016-05-30,2016-05-30,2017-07-29,5,5,2353911.330000,2323971.419999,2439581.149999,7117463.910000,2025-03-31 13:34:13-03:00
114,PCPQ-1606.0012,EMBRAPII,2,2016-07-15,2016-07-15,2017-08-15,6,6,155828.000000,233947.000000,78079.000000,467854.000000,2025-03-31 13:34:13-03:00
115,PCPQ-1608.0013,EMBRAPII,0,2016-08-12,2016-08-12,2017-07-11,6,6,178000.000000,211000.000000,197000.000000,586000.000000,2025-03-31 13:34:13-03:00
116,PELD-1607.0001,EMBRAPII,0,2016-08-01,2016-08-01,2017-12-31,6,6,686540.500000,662992.500000,506228.679999,1855761.679999,2025-03-31 13:34:13-03:00
117,PELD-1608.0002,EMBRAPII,2,2016-08-01,2016-08-01,2017-07-31,4,4,470809.810000,1098556.229999,0.000000,1569366.040000,2025-03-31 13:34:13-03:00
118,PTEC-1606.0001,EMBRAPII,4,2016-06-15,2016-06-15,2019-06-14,6,6,434030.289999,868060.579999,0.000000,1302090.870000,2025-03-25 02:01:06-03:00
126,PLAC-1412.0001,EMBRAPII,0,2014-12-18,2014-12-18,2016-12-18,4,4,150000.000000,245000.000000,55000.000000,450000.000000,2025-03-25 02:01:06-03:00
127,PLAC-1412.0002,EMBRAPII,0,2015-08-02,2015-08-02,2016-03-31,6,6,74000.000000,114000.000000,75000.000000,263000.000000,2025-03-25 02:01:06-03:00
128,PLAC-1412.0003,EMBRAPII,0,2015-09-21,2015-09-21,2016-01-31,6,6,43000.000000,66000.000000,20000.000000,129000.000000,2025-03-25 02:01:06-03:00
129,PLAC-1412.0004,EMBRAPII,1,2016-01-25,2016-01-25,2016-07-31,6,6,84268.800000,127680.000000,43411.200000,255360.000000,2025-03-25 02:01:06-03:00
